pair_id,event_id,city_id,year,t0,t1,delta_t_hours,delta_t_days,delta_t_bucket,forecast_forcing_available,forecast_coverage_fraction,forecast_status,obs_in_horizon_coverage,obs_in_horizon_availability,hydrological_state_availability,label_valid_fraction,unknown_fraction,new_flood_fraction
evt:2018-01-13|dhaka_nw|ENSEMBLE_FLOOD_20180113T120433_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20180125T120433_VV_AS020M_E039N021T3,evt:2018-01-13,dhaka_nw,2018,2018-01-13T12:04:33Z,2018-01-25T12:04:33Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.327880859375,0.672119140625,0.0
evt:2018-01-13|kishoreganj|ENSEMBLE_FLOOD_20180113T120433_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20180125T120433_VV_AS020M_E039N021T3,evt:2018-01-13,kishoreganj,2018,2018-01-13T12:04:33Z,2018-01-25T12:04:33Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,1.0,0.0,0.0
evt:2018-01-13|netrokona|ENSEMBLE_FLOOD_20180113T120433_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20180125T120433_VV_AS020M_E039N021T3,evt:2018-01-13,netrokona,2018,2018-01-13T12:04:33Z,2018-01-25T12:04:33Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,1.0,0.0,0.000244140625
evt:2018-01-13|sunamganj|ENSEMBLE_FLOOD_20180113T120433_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20180125T120433_VV_AS020M_E039N021T3,evt:2018-01-13,sunamganj,2018,2018-01-13T12:04:33Z,2018-01-25T12:04:33Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.682373046875,0.317626953125,0.0
evt:2018-06-06|dhaka_ne|ENSEMBLE_FLOOD_20180606T120436_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20180618T120437_VV_AS020M_E039N021T3,evt:2018-06-06,dhaka_ne,2018,2018-06-06T12:04:36Z,2018-06-18T12:04:37Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.1142578125,0.8857421875,0.002136752136752137
evt:2018-06-06|dhaka_nw|ENSEMBLE_FLOOD_20180606T120436_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20180618T120437_VV_AS020M_E039N021T3,evt:2018-06-06,dhaka_nw,2018,2018-06-06T12:04:36Z,2018-06-18T12:04:37Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.327880859375,0.672119140625,0.0
evt:2018-06-06|kishoreganj|ENSEMBLE_FLOOD_20180606T120436_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20180618T120437_VV_AS020M_E039N021T3,evt:2018-06-06,kishoreganj,2018,2018-06-06T12:04:36Z,2018-06-18T12:04:37Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,1.0,0.0,0.171142578125
evt:2018-06-06|netrokona|ENSEMBLE_FLOOD_20180606T120436_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20180618T120437_VV_AS020M_E039N021T3,evt:2018-06-06,netrokona,2018,2018-06-06T12:04:36Z,2018-06-18T12:04:37Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,1.0,0.0,0.048583984375
evt:2018-06-06|sunamganj|ENSEMBLE_FLOOD_20180606T120436_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20180618T120437_VV_AS020M_E039N021T3,evt:2018-06-06,sunamganj,2018,2018-06-06T12:04:36Z,2018-06-18T12:04:37Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.679931640625,0.320068359375,0.1450628366247756
evt:2019-01-10|dhaka_ne|ENSEMBLE_FLOOD_20190120T120440_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20190201T120440_VV_AS020M_E039N021T3,evt:2019-01-10,dhaka_ne,2019,2019-01-20T12:04:40Z,2019-02-01T12:04:40Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.1142578125,0.8857421875,0.0
evt:2019-01-10|dhaka_nw|ENSEMBLE_FLOOD_20190120T120440_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20190201T120440_VV_AS020M_E039N021T3,evt:2019-01-10,dhaka_nw,2019,2019-01-20T12:04:40Z,2019-02-01T12:04:40Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.327880859375,0.672119140625,0.0
evt:2019-01-10|dhaka_se|ENSEMBLE_FLOOD_20190110T235604_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20190122T235603_VV_AS020M_E039N021T3,evt:2019-01-10,dhaka_se,2019,2019-01-10T23:56:04Z,2019-01-22T23:56:03Z,287.9997222222222,11.999988425925926,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.598388671875,0.401611328125,0.0
evt:2019-01-10|dhaka_se|ENSEMBLE_FLOOD_20190122T235603_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20190203T235603_VV_AS020M_E039N021T3,evt:2019-01-10,dhaka_se,2019,2019-01-22T23:56:03Z,2019-02-03T23:56:03Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.598388671875,0.401611328125,0.0
